trip_id,year,month,week,day,hour,usertype,gender,starttime,stoptime,tripduration,temperature,events,from_station_id,from_station_name,latitude_start,longitude_start,dpcapacity_start,to_station_id,to_station_name,latitude_end,longitude_end,dpcapacity_end,start_neighborhood,end_neighborhood
13355662,2017,3,9,6,16,Subscriber,Male,2017-03-05 16:36:59,2017-03-05 16:42:54,5.916666666666667,57.0,cloudy,100,Orleans St & Merchandise Mart Plaza,41.888243,-87.63639,31.0,110,Dearborn St & Erie St,41.893992,-87.62931800000001,23.0,River North,River North
12625048,2016,11,44,5,10,Subscriber,Female,2016-11-05 10:40:41,2016-11-05 10:53:29,12.8,59.0,cloudy,307,Southport Ave & Clybourn Ave,41.920771,-87.663712,15.0,94,Clark St & Armitage Ave,41.918306,-87.636282,19.0,Lincoln Park,Old Town
8219171,2015,11,45,5,12,Subscriber,Female,2015-11-07 12:46:00,2015-11-07 12:57:00,10.8,52.0,cloudy,134,Peoria St & Jackson Blvd,41.877749,-87.649633,19.0,284,Michigan Ave & Jackson Blvd,41.87785,-87.62408,23.0,West Loop,Grant Park
4171805,2014,11,45,3,7,Subscriber,Male,2014-11-06 07:20:00,2014-11-06 07:32:00,12.366666666666667,44.1,cloudy,66,Clinton St & Lake St,41.88583274,-87.64138231,19.0,85,Michigan Ave & Oak St,41.90096039,-87.62377664,15.0,West Loop,Gold Coast
13420688,2017,3,11,4,1,Subscriber,Male,2017-03-17 01:58:37,2017-03-17 02:09:50,11.216666666666669,37.0,rain or snow,334,Lake Shore Dr & Belmont Ave,41.940775,-87.63919200000002,19.0,313,Lakeview Ave & Fullerton Pkwy,41.92585800000001,-87.638973,19.0,Lake View,Lincoln Park
7790096,2015,10,41,0,7,Subscriber,Male,2015-10-05 07:47:00,2015-10-05 08:01:00,13.983333333333333,55.9,cloudy,497,Kimball Ave & Belmont Ave,41.93939154,-87.71224084,23.0,506,Spaulding Ave & Armitage Ave,41.91718375,-87.71035665,15.0,Avondale,Logan Square
5135126,2015,5,20,1,18,Subscriber,Male,2015-05-12 18:05:00,2015-05-12 18:17:00,11.983333333333333,53.1,cloudy,212,Wells St & Hubbard St,41.889933,-87.63426199999998,31.0,80,Aberdeen St & Madison St,41.881487,-87.654752,19.0,River North,West Loop
16895486,2017,10,41,1,13,Subscriber,Male,2017-10-10 13:43:00,2017-10-10 13:46:00,3.083333333333333,62.6,cloudy,98,LaSalle St & Washington St,41.882664,-87.63253,15.0,81,Daley Center Plaza,41.884241,-87.629634,39.0,Loop,Loop
8447056,2015,12,50,3,9,Subscriber,Female,2015-12-10 09:34:00,2015-12-10 09:42:00,8.483333333333333,53.1,cloudy,52,Michigan Ave & Lake St,41.886024,-87.624117,31.0,337,Clark St & Chicago Ave,41.896544,-87.630931,19.0,Loop,Rush & Division
11896201,2016,9,37,3,16,Subscriber,Male,2016-09-15 16:19:26,2016-09-15 16:34:49,15.4,75.0,cloudy,142,McClurg Ct & Erie St,41.894503,-87.61785400000002,31.0,224,Halsted St & Willow St,41.913778,-87.64884,19.0,Streeterville,Lincoln Park
13117888,2017,1,5,0,16,Subscriber,Male,2017-01-30 16:59:32,2017-01-30 17:13:04,13.533333333333331,30.0,cloudy,36,Franklin St & Jackson Blvd,41.8777079559,-87.6353211408,31.0,191,Canal St & Monroe St (*),41.880884,-87.639525,28.0,Loop,West Loop
